id,x,y,size,frame,track,ignore,track_fixed
1,451.2878787878788,412.8484848484849,66,1,1,FALSE,1
2,467.5405405405405,396,148,1,2,FALSE,2
2,447.096,412.408,125,2,1,FALSE,1
3,466.8385416666667,408.0052083333333,192,2,2,FALSE,2
2,461.7204301075269,417.48387096774195,186,3,2,FALSE,2
3,442.2566371681416,409.353982300885,113,3,1,FALSE,1
1,451.2462311557789,422.58793969849245,199,4,2,FALSE,2
2,439.24038461538464,404.11538461538464,104,4,1,FALSE,1
2,441.5050505050505,400.85858585858585,99,5,1,FALSE,1
3,440.39444444444445,421.4611111111111,180,5,2,FALSE,2
1,431.9171974522293,414.6687898089172,157,6,2,FALSE,2
2,445.7931034482759,397.28735632183907,87,6,1,FALSE,1
2,450.7701149425287,398.04597701149424,87,7,1,FALSE,1
3,430.2258064516129,403.6505376344086,186,7,2,FALSE,2
1,455.2439024390244,402.0121951219512,82,8,1,FALSE,1
2,434.2011494252874,393.9022988505747,174,8,2,FALSE,2
1,457.5301204819277,407.09638554216866,83,9,1,FALSE,1
2,444.4057142857143,388.10857142857145,175,9,2,FALSE,2
1,455.37931034482756,412.264367816092,87,10,1,FALSE,1
2,456.5548780487805,389.8963414634146,164,10,2,FALSE,2
1,450.57142857142856,415.2755102040816,98,11,1,FALSE,1
2,464.55882352941177,397.36470588235295,170,11,2,FALSE,2
1,444.7857142857143,415.64285714285717,84,12,1,FALSE,1
2,466.0617283950617,408.89506172839504,162,12,2,FALSE,2
1,461.40697674418607,419.0755813953488,172,13,2,FALSE,2
2,440.1012658227848,411.88607594936707,79,13,1,FALSE,1
1,451.77653631284915,424.6256983240223,179,14,2,FALSE,2
2,437.9642857142857,406.9047619047619,84,14,1,FALSE,1
2,439.35869565217394,401.70652173913044,92,15,1,FALSE,1
3,439.6214689265537,423.10169491525426,177,15,2,FALSE,2
1,430.46583850931677,416.3975155279503,161,16,2,FALSE,2
2,443.85333333333335,397.88,75,16,1,FALSE,1
1,429.46285714285716,404.7885714285714,175,17,2,FALSE,2
2,450.3544303797468,398.1645569620253,79,17,1,FALSE,1
1,455.2027027027027,402.63513513513516,74,18,1,FALSE,1
2,433.64331210191085,394.5541401273885,157,18,2,FALSE,2
1,456.7368421052632,408.0131578947368,76,19,1,FALSE,1
2,443.1341463414634,389.1951219512195,164,19,2,FALSE,2
1,455.15384615384613,414.0128205128205,78,20,1,FALSE,1
2,455.10738255033556,390.5436241610738,149,20,2,FALSE,2
1,450.4848484848485,416.8686868686869,99,21,1,FALSE,1
2,464.00602409638554,398.1566265060241,166,21,2,FALSE,2
1,444.6265060240964,417.7710843373494,83,22,1,FALSE,1
2,465.6588235294118,410.0235294117647,170,22,2,FALSE,2
1,460.7564102564103,421.5769230769231,156,23,2,FALSE,2
2,438.87142857142857,414.48571428571427,70,23,1,FALSE,1
1,450.33962264150944,427.67295597484275,159,24,2,FALSE,2
2,436.35820895522386,409.1194029850746,67,24,1,FALSE,1
1,439.2516129032258,426.94193548387096,155,25,2,FALSE,2
2,438.57142857142856,403.32142857142856,56,25,1,FALSE,1
1,430.4962962962963,419.31111111111113,135,26,2,FALSE,2
2,443.859649122807,400.1578947368421,57,26,1,FALSE,1
1,427.54794520547944,407.8904109589041,146,27,2,FALSE,2
