Filename,ID,Category,Name,Cilia SA,Cilia Points,Cilia Points/Area,Islands,Noise_Points,MaxRadius,Aspect,Circularity,Elliptical Tendency,SurfaceArea,Cilia/Body Ratio,Polarity,Cilia Distribution Homogeneity,DeviationFromNormal,Note-Body,Note-Cilia,Keep
P2Movers_Week1_Well1_Bots1_29,0,Mover,Bot1,5043.691,3120,0.035868373,122,318,42.26964,1.183232,0.2026444,0.1835506,86984.71,0.05798365,0.7496019,0.13516,0.86484,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,1,Mover,Bot2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_TOUCHING,TWOBOT_TOUCHING,FALSE
P2Movers_Week1_Well1_Bots1_29,2,Mover,Bot3_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week1_Well1_Bots1_29,3,Mover,Bot5,3466.825773,1304,0.020672945,72,383,42.44280397,1.43662099,0.43768952,0.32102768,63077.61087,0.05496127,0.1971674,0.18569254,0.81430746,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,4,Mover,Bot6,5462.622098,2177,0.02383993,107,607,47.45313022,1.38440366,0.42168462,0.16354213,91317.384,0.05982018,0.3003568,0.18034618,0.81965382,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,5,Mover,Bot7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_TOUCHING,TWOBOT_TOUCHING,FALSE
P2Movers_Week1_Well1_Bots1_29,6,Mover,Bot8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week1_Well1_Bots1_29,7,Mover,Bot9,6994.895014,4740,0.062075334,171,436,45.61543056,1.32785032,0.34330786,0.19724698,76358.83185,0.09160558,0.3556852,0.16945952,0.83054048,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,8,Mover,Bot10,7601.730643,2555,0.034162315,157,1137,39.2078075,1.153982,0.1611456,0.1125974,74790.01413,0.101641,0.3246236,0.2590631,0.7409369,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,9,Mover,Bot11,10065.09047,2661,0.032301828,169,898,44.5637232,1.3643583,0.350488,0.1549073,82379.23862,0.1221799,0.4607632,0.2240854,0.7759146,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,10,Mover,Bot12,1207.826421,1310,0.094487352,217,281,23.0102224,1.2211609,0.2105696,0.7031514,13864.28947,0.0871178,0.2103049,0.4361931,0.5638069,OK,OVEREXPOSED,TRUE
P2Movers_Week1_Well1_Bots1_29,11,Mover,Bot13,10820.9436,7357,0.068225422,325,820,47.7496689,1.1529292,0.1488325,0.1439086,107833.7049,0.1003484,0.4178216,0.1950433,0.8049567,OK,OVEREXPOSED,TRUE
P2Movers_Week1_Well1_Bots1_29,12,Mover,Bot14,3099.746709,2077,0.059999968,78,473,30.48188299,1.18401155,0.18303239,0.43208836,34616.68514,0.08954487,0.3570364,0.2211838,0.7788162,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,13,Mover,Bot15_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week1_Well1_Bots1_29,14,Mover,Bot17,4340.411994,2041,0.034913102,116,308,40.43285899,1.48419125,0.44079014,0.30691565,58459.42948,0.07424657,0.5516321,0.16328188,0.83671812,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,15,Mover,Bot18,3472.366637,1375,0.027869859,81,569,35.0845085,1.25485565,0.27861268,0.43821286,49336.45253,0.07038136,0.2600921,0.26838811,0.73161189,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week1_Well1_Bots1_29,16,Mover,Bot19,12808.91395,7849,0.106527844,367,950,38.4634852,1.1511529,0.1599285,0.1147563,73680.26705,0.1738446,0.2316527,0.3090577,0.6909423,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,17,Mover,Bot20,2264.53054,975,0.070625178,68,247,23.1127118,1.1700524,0.190575,0.6369398,13805.27494,0.1640337,0.3275029,0.2725345,0.7274655,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,18,Mover,Bot21,5325.92828,3395,0.080477936,144,360,29.9009359,1.2462649,0.2721984,0.2354709,42185.4756,0.1262503,0.2120854,0.2266963,0.7733037,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,19,Mover,Bot22,5350.730194,4154,0.066654622,152,356,38.59699164,1.17186086,0.16899281,0.28413017,62321.25959,0.08585722,0.4311051,0.17216495,0.82783505,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,20,Mover,Bot23,1114.470766,946,0.031918771,33,112,31.47093723,1.30070174,0.2824093,0.62123679,29637.73224,0.03760311,0.6338504,0.13446215,0.86553785,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,21,Mover,Bot24,9925.78039,4890,0.049688131,230,809,46.1202409,1.2529854,0.2424575,0.175826,98413.84388,0.1008576,0.3110561,0.1912905,0.8087095,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,22,Mover,Bot25,9521.397211,5424,0.067805229,278,661,40.0820934,1.1451215,0.1503218,0.1927312,79993.83049,0.1190266,0.1731988,0.2223514,0.7776486,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,23,Mover,Bot26,1616.836149,1042,0.049808023,50,268,30.98916376,1.43835608,0.41648061,0.67145701,20920.32453,0.07728542,0.2313734,0.21485944,0.78514056,OK,OK,TRUE
P2Movers_Week1_Well1_Bots1_29,24,Mover,Bot27_28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week1_Well1_Bots1_29,25,Mover,Bot29,7246.529438,4722,0.06428663,222,891,40.50544379,1.23178173,0.24290227,0.16237764,73452.2891,0.09865628,0.16093758,0.23337156,0.76662844,TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
P2Movers_Week1_Well2_Bots1_21,0,Mover,Bot1,4862.777568,2030,0.051474524,115,593,44.4967466,1.3785901,0.4150543,0.5805877,39436.98454,0.123305,0.282437,0.2389152,0.7610848,TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
P2Movers_Week1_Well2_Bots1_21,1,Mover,Bot2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
P2Movers_Week1_Well2_Bots1_21,2,Mover,Bot3,4176.368692,2996,0.113610289,125,345,32.3485885,1.1692606,0.1673531,0.6113015,26370.85097,0.1583706,0.4031911,0.2310041,0.7689959,OK,OK,TRUE
P2Movers_Week1_Well2_Bots1_21,3,Mover,Bot4,8762.771146,1426,0.087938226,75,748,27.8155576,1.5564921,0.5069471,0.7206386,16215.92865,0.5403805,0.05170312,0.4362264,0.5637736,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,4,Mover,Bot5,5699.253515,4915,0.094806224,114,600,37.4851864,1.1351055,0.1382141,0.5546402,51842.58769,0.1099338,0.3456321,0.2404403,0.7595597,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,5,Mover,Bot6,5117.290223,1433,0.055143423,66,539,28.9109236,1.357419,0.345891,0.6306587,25986.78,0.2729425,0.2077227,0.3727009,0.6272991,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,6,Mover,Bot7,5663.861125,2686,0.041350149,135,628,38.98651945,1.3504952,0.36678409,0.22576016,64957.44424,0.08719341,0.3035718,0.2035503,0.7964497,TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
P2Movers_Week1_Well2_Bots1_21,7,Mover,Bot8_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week1_Well2_Bots1_21,8,Mover,Bot10_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week1_Well2_Bots1_21,9,Mover,Bot12,5759.49212,2686,0.035510612,131,543,43.48135378,1.32589323,0.35460985,0.49207256,75639.36,0.09117115,0.5313655,0.19477124,0.80522876,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,10,Mover,Bot13,2892.346885,956,0.068600798,55,396,22.5750724,1.2412159,0.2692168,0.7563798,13935.6979,0.2075495,0.1381822,0.3235294,0.6764706,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,11,Mover,Bot14_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week1_Well2_Bots1_21,12,Mover,Bot16,3090.119354,1327,0.091247934,74,508,24.6899314,1.3701715,0.3728449,0.6924646,14542.79509,0.2124846,0.0724918,0.3588907,0.6411093,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,13,Mover,Bot17,4734.083046,1750,0.057093865,103,607,33.3580028,1.1284081,0.1292337,0.6612495,30651.27923,0.1544498,0.3674034,0.2700329,0.7299671,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,14,Mover,Bot18,4212.200716,1803,0.026113044,106,464,39.54813208,1.28458841,0.27853766,0.20255214,69045.9518,0.06100576,0.1933444,0.20806546,0.79193454,OK,OK,TRUE
P2Movers_Week1_Well2_Bots1_21,15,Mover,Bot19,5329.147987,2302,0.032391462,105,485,37.9280492,1.3143604,0.3301943,0.3336743,71068.11,0.1021564,0.6526106,0.223296,0.776704,TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
P2Movers_Week1_Well2_Bots1_21,16,Mover,Bot20,6147.953814,2073,0.031915915,135,664,39.02949232,1.14755103,0.14737074,0.40766448,64951.92088,0.09465392,0.4110362,0.21359649,0.78640351,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,17,Mover,Bot21,3456.915829,1995,0.034258998,96,341,38.76391714,1.23274429,0.26688415,0.23417745,58232.87713,0.05936364,0.222675,0.1667569,0.8332431,OK,OK,TRUE
P2Movers_Week2_Well1,0,Mover,Bot1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week2_Well1,1,Mover,Bot3,7343.501796,4693,0.08151402,214,517,37.3066271,1.3008909,0.291776,0.498692,57572.91848,0.1275513,0.2908105,0.2090054,0.7909946,OK,OK,TRUE
P2Movers_Week2_Well1,2,Mover,Bot4,5051.59861,4506,0.144726047,171,270,24.8495076,1.1671629,0.1676362,0.240601,31134.6857,0.1622499,0.2851389,0.2287138,0.7712862,OK,OK,TRUE
P2Movers_Week2_Well1,3,Mover,Bot5,6465.92729,4241,0.21292611,263,789,25.460609,1.2932272,0.2769543,0.7059593,19917.70756,0.3246321,0.2074786,0.4073554,0.5926446,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week2_Well1,4,Mover,Bot6,4233.016213,1808,0.035589004,94,329,38.06768818,1.33068949,0.36792059,0.27633363,50802.20902,0.08332347,0.5347378,0.19120135,0.80879865,OK,OK,TRUE
P2Movers_Week2_Well1,5,Mover,Bot7_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week2_Well1,6,Mover,Bot9,4007.778091,1514,0.041964219,98,391,28.9388123,1.1869062,0.212826,0.3174553,36078.35484,0.1110854,0.4960792,0.2170439,0.7829561,OK,OK,TRUE
P2Movers_Week2_Well1,7,Mover,Bot10,2968.218564,1329,0.037389314,91,245,33.1468635,1.57062435,0.60281663,0.22397176,35544.91502,0.08350614,0.3775643,0.20658343,0.79341657,OK,OK,TRUE
P2Movers_Week2_Well1,8,Mover,Bot11,4473.716864,1441,0.043900562,137,504,27.8240667,1.221829,0.2557828,0.2981769,32824.18106,0.1362933,0.2376331,0.2790594,0.7209406,OK,OK,TRUE
P2Movers_Week2_Well1,9,Mover,Bot12,704.9484604,311,0.008253506,25,124,29.25844964,1.31638446,0.34558432,0.1964341,37680.95669,0.01870835,0.6155869,0.146,0.854,OK,OK,TRUE
P2Movers_Week2_Well1,10,Mover,Bot13,3287.74979,607,0.019488284,88,256,26.9529476,1.2996332,0.295949,0.2861309,31146.91877,0.1055562,0.2616865,0.2196356,0.7803644,OK,OK,TRUE
P2Movers_Week2_Well1,11,Mover,Bot14,5261.540981,1750,0.03997441,132,515,34.652229,1.4701038,0.4491336,0.201863,43778.00702,0.1201869,0.2850965,0.2332589,0.7667411,OK,OK,TRUE
P2Movers_Week2_Well1,12,Mover,Bot15,3065.519701,766,0.059743734,34,458,24.3442194,1.3051369,0.3113395,0.5844995,12821.42824,0.2390935,0.1639914,0.4784367,0.5215633,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week2_Well1,13,Mover,Bot16,4712.697864,3179,0.062034825,138,368,32.21870709,1.23941038,0.2882229,0.15909466,51245.40949,0.09196332,0.2772667,0.18941504,0.81058496,OK,OK,TRUE
P2Movers_Week2_Well1,14,Mover,Bot17,3914.476243,2647,0.061370457,82,466,35.65335376,1.64406201,0.59232656,0.2634678,43131.5021,0.09075678,0.1711144,0.22807018,0.77192982,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week2_Well1,15,Mover,Bot18_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week2_Well1,16,Mover,Bot20,1592.469534,1426,0.073484393,38,212,22.27223907,1.26963067,0.3042305,0.39749576,19405.48119,0.08206287,0.3126286,0.24390244,0.75609756,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week2_Well1,17,Mover,Bot21,5050.548083,2649,0.186834887,167,604,25.7737054,1.4642778,0.4443873,0.651884,14178.29422,0.3562169,0.2187221,0.4153535,0.5846465,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week2_Well1,18,Mover,Bot22,4652.633986,2256,0.194332879,134,764,20.5030996,1.1532424,0.1489867,0.7274826,11608.94653,0.40078,0.1336839,0.4382184,0.5617816,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week2_Well1,19,Mover,Bot23,546.3656073,267,0.007397439,17,71,28.84512419,1.27836032,0.33409072,0.21599837,36093.57459,0.01513748,0.6094756,0.10358566,0.89641434,OK,OK,TRUE
P2Movers_Week2_Well1,20,Mover,Bot24,3655.254939,1460,0.045280044,92,475,26.6619348,1.1718872,0.1907798,0.2936866,32243.78471,0.1133631,0.1620823,0.2728625,0.7271375,OK,OK,TRUE
P2Movers_Week2_Well1,21,Mover,Bot25_26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
P2Movers_Week2_Well1,22,Mover,Bot27,2479.911797,883,0.085348518,42,489,19.3455847,1.1680726,0.1749086,0.7296504,10345.81522,0.2397019,0.14985,0.4856487,0.5143513,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week2_Well1,23,Mover,Bot28,3359.783105,2474,0.068879664,140,290,27.11316719,1.15254204,0.16011565,0.21832065,35917.71301,0.09354112,0.1269706,0.2120887,0.7879113,OK,OK,TRUE
P2Movers_Week2_Well1,24,Mover,Bot29,6700.613011,3110,0.064717789,164,986,30.4205393,1.1574386,0.1572721,0.1604477,48054.79368,0.1394369,0.369057,0.2871401,0.7128599,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week2_Well1,25,Mover,Bot30,3990.058547,2044,0.09828634,121,670,24.133144,1.2880303,0.2808207,0.5669454,20796.37929,0.1918631,0.2407356,0.3812038,0.6187962,OK,OVEREXPOSED_FIXED,TRUE
P2Movers_Week2_Well1,26,Mover,Bot31,3840.784864,2592,0.074056741,109,194,28.0477566,1.21807,0.2183442,0.2485554,35000.18993,0.1097361,0.5230245,0.2006633,0.7993367,OK,OK,TRUE
P2Movers_Week2_Well1,27,Mover,Bot32,3702.628615,1548,0.028732398,104,467,32.99479647,1.16383793,0.17210763,0.25035472,53876.46341,0.06872442,0.3371178,0.2002113,0.7997887,OK,OK,TRUE
P2Movers_Week2_Well1,28,Mover,Bot33_34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT,TWOBOT,FALSE
