Filename,ID,Category,Name,Cilia SA,Cilia Points,Cilia Points/Area,Islands,Noise_Points,MaxRadius,Aspect,Circularity,Elliptical Tendency,SurfaceArea,Cilia/Body Ratio,Polarity,Cilia Distribution Homogeneity,DeviationFromNormal,Eqn,Note-Body,Note-Cilia,Keep
P2Movers_Week1_Well1_Bots1_29,2,Mover,Bot3,7523.76812,3284,0.04252104,212,900,40.15318939,1.2278403,0.26659658,0.17823267,77232.34849,0.09741732,0.384638,0.23236152,0.76763848,(y+z)>(110),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well1_Bots1_29,2,Mover,Bot4,2311.060264,1543,0.09799831,75,246,22.61948211,1.37840957,0.38314212,0.54188368,15745.16894,0.14677901,0.31824294,0.27490542,0.72509458,(y+z)<(110),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well1_Bots1_29,13,Mover,Bot15,5273.880859,2922,0.05965659,144,461,32.17479842,1.17027822,0.19103463,0.1365746,48980.33752,0.10767343,0.46009786,0.23931057,0.76068943,(x-y)>55,TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well1_Bots1_29,13,Mover,Bot16,3133.487493,2303,0.1007732,96,246,24.312712,1.431011,0.4550691,0.3844676,22853.29938,0.1371131,0.3847995,0.2356931,0.7643069,(x-y)<55,TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well1_Bots1_29,24,Mover,Bot27,5903.313198,3646,0.04852252,134,335,42.59191374,1.29041303,0.30271789,0.34108498,75140.37282,0.0785638,0.54653255,0.14189861,0.85810139,(x-y)>-50,TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well1_Bots1_29,24,Mover,Bot28,1433.596051,922,0.06400689,38,43,25.92100196,1.67902918,0.61715709,0.6311002,14404.70003,0.0995228,0.74470369,0.15820896,0.84179104,(x-y)<-50,TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,7,Mover,Bot8,2171.335916,1092,0.02831027,56,295,32.99722554,1.11211589,0.11593936,0.59408491,38572.57493,0.05629222,0.10156239,0.19964508,0.80035492,y>85,TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,7,Mover,Bot9,2069.899541,783,0.05725673,42,260,24.60644275,1.27288105,0.27692753,0.54773075,13675.24943,0.15136101,0.50988334,0.30600462,0.69399538,y<85,TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,8,Mover,Bot10,7643.607168,6959,0.08434887,184,531,41.32229485,1.2023831,0.21557456,0.1485658,82502.58565,0.09264688,0.43079774,0.175596,0.824404,(x)>(75),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,8,Mover,Bot11,8.404877663,9,0.000391922,0,9,22.80631369,1.234143942,0.260705015,0.285520397,22963.7303,0.000366007,0.85110315,0,1,(x)<(75),NOT_BRIGHT,NOT_BRIGHT,FALSE
