Name,Type ,File,BilatStatMean,BilatStatMedian,Diff/Tot,Diff,Tot,Note,,
Thirdfrombottomleft,Circular,TimelapseBots3.lif,15.9079,3.876761,0.09584764,307,3203,NA,,
Fourthfrombottomleft,Circular,TimelapseBots3.lif,14.65981,8.647658,0.6286701,2184,3474,NA,,
Fifthfrombottomleft,Circular,TimelapseBots3.lif,4.188352,1.913654,0.2313571,1998,8636,CILIA ISSUE?,,
Smallbot,Circular,TimelapseBots2.lif,22.64525,12.44661,0.3836576,493,1285,NA,,
Bigbot,Circular,TimelapseBots2.lif,20.71018,13.3529,0.7138402,9614,13468,NA,,
Lastbot,Circular,TimelapseBots2.lif,17.59018,14.79114,0.3945974,3053,7737,NA,,
Bottomleftbot,Circular,TimelapseBots2.lif,10.58683,8.157624,0.5378691,5447,10127,NA,,
Nextfrombottomleft,Circular,TimelapseBots2.lif,10.10596,6.766366,0.2173722,1977,9095,NA,,
Bot1,Circular,Oneolarity.lif,32.34679,20.0865,0.9185317,15514,16890,BOTSHAPE,,
Bot2,Circular,TwoPolarity_OneTL.lif,34.34768,25.12189,0.8314233,8996,10820,NA,,
Firstfromleft,Circular,TimelapseBots1.lif,28.61876,21.22657,0.4693107,2982,6354,NA,,
Secondfromleft,Circular,TimelapseBots1.lif,10.70901,7.182508,0.294982699,2046,6936,NA,,
Thirdfromleft,Circular,TimelapseBots1.lif,8.71474,3.437998,0.2031219,2030,9994,NA,,
Fourthfromleft,Circular,TimelapseBots1.lif,20.70069,14.90591,0.3036304,1656,5454,NA,,
Topleftbot,Circular,TimelapseBots1.lif,1.884753,0.8062033,0.060623366,2017,33271,BOTSHAPE,,
Bot204,Straight,LinearMovers_2_4_2_10.lif,9.615244,6.281634,0.214488716,3849,17945,NA,,
Bot209,Straight,LinearMovers_2_4_2_10.lif,2.364767,1.170673,0.3103824,7979,25707,NA,,
Bot210,Straight,LinearMovers_2_4_2_10.lif,12.48464,4.726929,0.1480398,4603,31093,NA,,
TopleftBot,Straight,LinearMovers_2_11_2_17.lif,13.17597,6.054547,0.2578668,4376,16970,NA,,
Bottomleftbot,Straight,LinearMovers_2_11_2_17.lif,9.040136,4.026654,0.1612183,5489,34047,NA,,
Midrightbot,Straight,LinearMovers_2_11_2_17.lif,4.603312,1.019359,0.1278116,5347,41835,NA,,
Solo216,Straight,LinearMovers_2_11_2_17.lif,1.924712,0.6789536,0.01658135,758,45714,NA,,
Bottomrightbot,Straight,LinearMovers_2_11_2_17.lif,3.138966,1.141273,0.1632596,6996,42852,NA,,
Middlebot,Straight,LinearMovers_2_23_2_26.lif,2.255754,0.9653843,0.374661734,15091,40279,NA,,
Middlebot2,Straight,LinearMovers_2_23_2_26.lif,3.297746,1.406793,0.3824315,5011,13103,NA,,
225Bot1,Straight,LinearMovers_2_23_2_26.lif,7.600447,5.321501,0.02092692,191,9127,NA,,
225Bot2,Straight,LinearMovers_2_23_2_26.lif,7.974575,2.33913,0.2895097,17555,60637,NA,,
226Bot1,Straight,LinearMovers_2_23_2_26.lif,1.043248,0.4527723,0.01811783,937,51717,NA,,
