LinMean1,LinMean2,LinMean3,LinMean4,LinMedian1,LinMedian2,LinMedian3,LinMedian4,LinSize1,LinSize2,LinSize3,LinSize4,LinSizeP1,LinSizeP2,LinSizeP3,LinSizeP4
3.6046814,2.8207857,5.2397701,6.57789,1.3811637,1.3136599,4.3663793,5.318068,3832,6410,12102,11732,0.2135295,0.3571827,0.6743564,0.653739
1.9486015,1.4281216,1.8179863,2.682622068,0.9011252,0.8336279,0.8786085,1.010639068,6018,5758,4674,250,0.2358705,0.22568,0.1831935,0.009798542
5.4661851,6.336796,5.39410429,5.130798322,1.4572491,2.352834,2.38478357,2.193508302,4603,5793,927,107,0.1480398,0.186312,0.02981378,0.003441289
8.9922123,8.2296029,9.306507,4.6668528,4.2497059,2.0650281,5.897834,2.5423076,4376,2572,8982,8824,0.2578668,0.1515616,0.529287,0.5199764
8.9670306,4.573258,3.419902,11.4210611,4.0069341,1.03819,1.536876,4.9103666,5489,4459,10987,12993,0.1612183,0.130966,0.322701,0.3816195
4.4830981,8.1545991,2.65010286,4.8268955,0.9979097,1.7325109,0.83440906,1.6581528,5347,6437,3479,625,0.1278116,0.1538664,0.08316003,0.01493964
1.67311476,2.7214068,1.4824972,1.0829007,0.61952275,0.9060267,0.6895127,0.7558534,758,6624,8732,6844,0.01658135,0.1449009,0.1910137,0.1497134
1.6575056,1.35680092,1.739963,1.7480457,0.7792134,0.66650894,0.7009969,0.7959127,6996,1260,6120,8288,0.1632596,0.02940353,0.1428171,0.1934099
2.1828472,2.7283598,1.2547062,3.1280744,0.9423379,0.8768275,0.7096593,0.8380132,15091,9235,3067,4765,0.374661734,0.2292758,0.0761439,0.1182999
3.2977355,6.4108056,1.84897062,5.8691913,1.4067933,2.0450858,1.16212662,2.4153293,5011,2437,459,2341,0.3824315,0.1859879,0.03503015,0.1786614
0.96214324,1.11783139,1.15112156,1.02873424,0.75852684,0.68529684,0.66908155,0.6213755,3680,1450,2076,2992,0.07728495,0.03045195,0.04359879,0.06283602
7.8943571,6.37837313,1.1879951,4.9231619,2.321423,1.23266218,0.7042335,1.2963135,17555,3261,8159,13653,0.2895097,0.05377905,0.1345548,0.2251596
1.03889153,0.8706355,0.91287027,1.17075348,0.4526045,0.52185013,0.53718538,0.53940426,937,1381,1335,969,0.01811783,0.02670302,0.02581356,0.01873659
