CircMean1,CircMean2,CircMean 3,CircMean 4,BilatStatMedian1,BilatStatMedian2,BilatStatMedian3,BilatStatMedian4,Dstat1,Dstat2,Dstat3,Dstat4,Diff/Tot1,Diff/Tot2,Diff/Tot3,Diff/Tot4
3.31803087,1.52539247,0.92109221,1.71089598,3.15092185,4.2788905,3.87886722,1.39339529,0.19199657,0.28557401,0.26019089,0.20761328,0.34518598,0.21120343,0.04624914,0.21784449
1.247876516,0.230729801,0.824251572,0.577961678,1.47213639,0.513988236,0.207982963,0.114760341,0.222599347,0.134477307,0.133115605,0.064106638,0.104652324,0.045974143,0.004592423,0.036265162
11.0932932,10.11058487,2.73151057,5.17820614,8.80191746,7.0811332,0.92406287,4.27035047,0.43322442,0.34703312,0.10318587,0.25698009,0.26391499,0.29106416,0.05686289,0.17507456
1.08904392,0.53321923,0.30289943,1.2256553,1.01077793,0.08909712,1.0815535,1.50339098,0.09042603,0.06789993,0.1465532,0.16593867,0.20162145,0.15057915,0.02832278,0.12862133
2.7277281,4.80919039,2.93217874,1.78534538,1.21267991,4.7239961,3.08001557,2.91226219,0.2500996,0.36899764,0.32705166,0.34819583,0.1761755,0.02965591,0.06292873,0.1449675
0.8624119,0.91141883,0.93814325,0.98741374,0.25766457,0.97670486,1.1322409,0.799515,0.13881765,0.11838867,0.11586081,0.10226121,0.08917367,0.04184614,0.01180901,0.08229715
0.158383982,0.378995503,0.31776075,0.998484112,0.299236983,0.533059568,0.467910923,1.141438523,0.069945758,0.107500856,0.040898204,0.09087455,2.80938E-05,0.018982067,0.013400759,0.022652994
0.67547086,0.93487458,0.08238111,0.1981506,0.23444164,0.53073628,0.52762152,0.27455013,0.10285972,0.11769474,0.10451131,0.05417988,0.24394312,0.21205588,0.0247495,0.17488056
0.03358636,0.68959775,0.08763253,0.29719955,0.07686049,0.74742949,0.10612032,0.64165583,0.05661143,0.17240909,0.06854254,0.08307168,0.27089658,0.16374911,0.01627802,0.16881984
1.992141825,0.170442695,0.176620128,0.97990352,1.660566836,1.232468226,0.89513981,0.399180706,0.148791972,0.15673718,0.103642831,0.074597026,0.054394267,0.061847374,0.006533443,0.070660817
0.51684695,0.30090837,0.33332654,0.80710884,1.22735762,1.38427472,0.4851275,0.71423254,0.13650598,0.14098702,0.0746536,0.1064342,0.07173543,0.0376815,0.01825582,0.04009988
0.836176137,1.849076343,0.225939012,1.440091381,0.901515775,1.758679098,0.443963776,1.388171724,0.173313167,0.233679609,0.074414147,0.122795993,0.220662231,0.127958769,0.001421764,0.094913861
1.64066568,0.54082184,0.26708525,1.36057525,1.27833903,0.59108003,0.70915266,0.04845626,0.14453895,0.10748225,0.1252029,0.12914483,0.0915063,0.09748057,0.02621776,0.0279791
