Bot Name,Straightness,Gyration,Up 1,Low 1
3New-02,1.870546,0.44,0.3927998,0.4152033
5-01-2021 (6),1.678068,0.45,0.02490808,-0.11450869
5_01_2021 (14),1.824452,0.5217391,0.23831159,-0.02679301
4-28New-10,1.674011,0.6071429,-0.3580757,0.1614038
4-30-2021 (58),1.768989,0.4782609,-0.1263956,0.6273335
4-30-2021 (3),1.799351,0.4,-0.375711,0.4796606
4/28/21,1.93735,0.3333333,-0.148966,-0.3638166
Plate29bot3passage3onneurons2,1.778635,0.4909091,0.07871854,0.11540845
plate25bot1passage3onneurons,1.829302,0.3877551,-0.05915505,0.08321604
Plate12passage2onneurons1,1.726622,0.5,NA,NA
Plate21passage2onneurons,1.527534,0.3809524,-0.1835,-0.01024008
Plate12passage2bot2onneurons,1.71231,0.3513514,-0.2175953,0.07165552
Plate24bot2passage3onneurons2,1.728967,0.375,0.1616264,0.3420097
Plate30bot2passage3onneurons,1.50588,0.4861111,0.2650231,0.399273
Plate12passage2onneurons1,NA,NA,-0.01913691,0.15762959
